claim1_id,claim1_arxiv,claim1_title,claim1_text,claim1_condition,claim1_citations,claim1_confidence,claim2_id,claim2_arxiv,claim2_title,claim2_text,claim2_condition,claim2_citations,claim2_confidence,group_key,strategy,contradiction_type,classification_reason
0,2211.10435,PAL: Program-aided Language Models,Chain-of-Thought degrades Arithmetic Accuracy,"gsm-hard, codex",728,5,1,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,Chain-of-Thought degrades Arithmetic Accuracy,"gpqa diamond, gpt-4o-mini, 100 samples",17,4,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,Rule engine: Experimental_Condition_Contradiction (confidence=0.25)
0,2211.10435,PAL: Program-aided Language Models,Chain-of-Thought degrades Arithmetic Accuracy,"gsm-hard, codex",728,5,2,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,Chain-of-Thought degrades Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=2",6,5,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state the same directional effect (Chain-of-Thought degrades accuracy), but they differ only in the experimental conditions (different datasets, models, and settings), so the apparent contradiction is explained by those differing conditions."
0,2211.10435,PAL: Program-aided Language Models,Chain-of-Thought degrades Arithmetic Accuracy,"gsm-hard, codex",728,5,3,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,Chain-of-Thought degrades Arithmetic Accuracy,"cvbench, llama-4-scout-17b-16e-instruct, scenegraph cot + pot",5,5,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,Rule engine: Experimental_Condition_Contradiction (confidence=0.25)
0,2211.10435,PAL: Program-aided Language Models,Chain-of-Thought degrades Arithmetic Accuracy,"gsm-hard, codex",728,5,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,Chain-of-Thought degrades Arithmetic Accuracy,"t5, tag configuration",0,4,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state the same directional effect (Chain-of-Thought degrades Arithmetic Accuracy), but they differ only in the experimental conditions (gsm-hard with codex vs. t5 with tag configuration), so the apparent contradiction is due to different setups rather than a direct dispute."
1,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,Chain-of-Thought degrades Arithmetic Accuracy,"gpqa diamond, gpt-4o-mini, 100 samples",17,4,2,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,Chain-of-Thought degrades Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=2",6,5,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state the same directional effect (Chain-of-Thought degrades arithmetic accuracy), but they differ in experimental conditions (different datasets, models, and sampling parameters), so the apparent contradiction is explained by these differing setups rather than a genuine scientific dispute."
1,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,Chain-of-Thought degrades Arithmetic Accuracy,"gpqa diamond, gpt-4o-mini, 100 samples",17,4,3,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,Chain-of-Thought degrades Arithmetic Accuracy,"cvbench, llama-4-scout-17b-16e-instruct, scenegraph cot + pot",5,5,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,Rule engine: Experimental_Condition_Contradiction (confidence=0.25)
1,2506.07142,Prompting Science Report 2: The Decreasing Value of Chain of Thought in Prompting,Chain-of-Thought degrades Arithmetic Accuracy,"gpqa diamond, gpt-4o-mini, 100 samples",17,4,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,Chain-of-Thought degrades Arithmetic Accuracy,"t5, tag configuration",0,4,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state the same outcome (Chain-of-Thought degrades Arithmetic Accuracy), but they differ only in the experimental conditions (gpqa diamond with gpt-4o-mini vs. t5 with tag configuration), so the apparent contradiction is due to different setups rather than a genuine scientific dispute."
2,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,Chain-of-Thought degrades Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=2",6,5,3,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,Chain-of-Thought degrades Arithmetic Accuracy,"cvbench, llama-4-scout-17b-16e-instruct, scenegraph cot + pot",5,5,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state that Chain-of-Thought degrades arithmetic accuracy, but they differ only in experimental conditions (different datasets, models, and prompting methods), so they would likely agree under the same conditions."
2,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,Chain-of-Thought degrades Arithmetic Accuracy,"rcc-8, ia, zero-shot, o3-mini, b=2",6,5,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,Chain-of-Thought degrades Arithmetic Accuracy,"t5, tag configuration",0,4,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state the same directional effect (""Chain-of-Thought degrades Arithmetic Accuracy""), but they are tested under different experimental conditions (rcc-8, ia, zero-shot, o3-mini, b=2 vs. t5, tag configuration), so the apparent contradiction is due to differing setups rather than a direct scientific dispute."
3,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,Chain-of-Thought degrades Arithmetic Accuracy,"cvbench, llama-4-scout-17b-16e-instruct, scenegraph cot + pot",5,5,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,Chain-of-Thought degrades Arithmetic Accuracy,"t5, tag configuration",0,4,Chain-of-Thought|degrades|Arithmetic Accuracy,same_SRO,Experimental_Condition_Contradiction,"Both claims state the same directional effect (Chain-of-Thought degrades Arithmetic Accuracy), but they differ only in the experimental conditions (model and dataset in Claim 1 vs. model and tag configuration in Claim 2), so the apparent difference is due to different experimental setups rather than a genuine scientific dispute."
