subject,relation,object,condition,evidence_type,confidence,arxiv_id,title,citations,subject_original,relation_original
Chain-of-Thought,improves,Arithmetic Accuracy,"gsm8k, lamda",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Chain-of-Thought,improves
Large Language Model,outperforms,Few-Shot Prompting,"mathqa, gpt-3",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Large Language Model,outperforms
Self-Consistency,improves,Arithmetic Accuracy,"gsm8k, lamda",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Self-Consistency,improves
Verification Method,improves,Arithmetic Accuracy,"gsm8k, lamda",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Verification Method,improves
Step-by-Step Reasoning,improves,Arithmetic Accuracy,"gsm8k, lamda",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Step-by-Step Reasoning,improves
Chain-of-Thought,enables,Step-by-Step Reasoning,lamda,Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Chain-of-Thought,enables
Large Language Model,correlates_with,Problem Complexity,gsm8k,Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Large Language Model,correlates_with
Zero-Shot Prompting,outperforms,Few-Shot Prompting,"gsm8k, lamda",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Zero-Shot Prompting,outperforms
Chain-of-Thought,reduces,Arithmetic Accuracy,"lamda, temperature 0.0",Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Chain-of-Thought,reduces
Self-Consistency,increases,Arithmetic Accuracy,"gsm8k, lamda, sample size 40",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Self-Consistency,increases
Verification Method,outperforms,Chain-of-Thought,"gsm8k, lamda",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Verification Method,outperforms
Large Language Model,depends_on,Problem Complexity,gsm8k,Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Large Language Model,depends_on
Chain-of-Thought,equals,Step-by-Step Reasoning,lamda,Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Chain-of-Thought,equals
Few-Shot Prompting,degrades,Arithmetic Accuracy,"gsm8k, lamda",Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Few-Shot Prompting,degrades
Zero-Shot Prompting,correlates_with,Problem Complexity,gsm8k,Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Zero-Shot Prompting,correlates_with
Self-Consistency,enables,Verification Method,"gsm8k, lamda",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Self-Consistency,enables
Chain-of-Thought,outperforms,Zero-Shot Prompting,"gsm8k, lamda",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Chain-of-Thought,outperforms
Large Language Model,improves,Arithmetic Accuracy,"gsm8k, lamda",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Large Language Model,improves
Step-by-Step Reasoning,reduces,Arithmetic Accuracy,"lamda, temperature 0.0",Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Step-by-Step Reasoning,reduces
Verification Method,increases,Arithmetic Accuracy,"gsm8k, lamda, sample size 40",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447,Verification Method,increases
Chain-of-Thought,degrades,Arithmetic Accuracy,"gsm-hard, codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728,Chain-of-Thought,degrades
Chain-of-Thought,improves,Arithmetic Accuracy,"gsm8k, codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728,Chain-of-Thought,improves
Chain-of-Thought,improves,Arithmetic Accuracy,10 datasets,Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386,Chain-of-Thought,improves
Chain-of-Thought,improves,Arithmetic Accuracy,"math and formal logic tasks, multiple models and datasets",Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,improves
Chain-of-Thought,outperforms,direct answering,non-symbolic tasks,Experimental_Result,3,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,outperforms
Chain-of-Thought,correlates_with,symbolic manipulation,tasks requiring symbolic steps,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,correlates_with
Chain-of-Thought,degrades,performance,non-symbolic tasks like commonsenseqa,Experimental_Result,3,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,degrades
Chain-of-Thought,reduces,benefit,strategyqa due to low execution complexity,Experimental_Result,3,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,reduces
Chain-of-Thought,outperforms,tool-augmented approaches,math and formal logic,Experimental_Result,2,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,outperforms
Chain-of-Thought,enables,step-by-step reasoning,math and logic tasks,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,enables
Large Language Model,improves,Arithmetic Accuracy,"cot prompting, math and logic datasets",Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Large Language Model,improves
Chain-of-Thought,depends_on,symbolic step execution,tasks with formal solution plans,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,depends_on
Chain-of-Thought,contradicts,assumption that deliberation improves all reasoning tasks,non-symbolic vs symbolic tasks,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303,Chain-of-Thought,contradicts
Chain-of-Thought,improves,Mathematical Reasoning,"gsm8k, gpt-3.5",Experimental_Result,5,2310.01714,Large Language Models as Analogical Reasoners,159,Chain-of-Thought,improves
Large Language Model,enables,Step-by-Step Reasoning,"big-bench, gpt-3",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159,Large Language Model,enables
Self-Consistency,improves,Arithmetic Accuracy,"gsm8k, gpt-3",Experimental_Result,5,2310.01714,Large Language Models as Analogical Reasoners,159,Self-Consistency,improves
Chain-of-Thought,outperforms,Zero-Shot Prompting,"mathqa, gpt-4",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159,Chain-of-Thought,outperforms
Few-Shot Prompting,improves,Mathematical Reasoning,"gsm8k, gpt-3",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159,Few-Shot Prompting,improves
Large Language Model,correlates_with,Problem Complexity,"big-bench, gpt-4",Experimental_Result,3,2310.01714,Large Language Models as Analogical Reasoners,159,Large Language Model,correlates_with
Verification Method,improves,Arithmetic Accuracy,"gsm8k, gpt-4",Experimental_Result,4,2310.01714,Large Language Models as Analogical Reasoners,159,Verification Method,improves
Chain-of-Thought,reduces,Problem Complexity,"gsm8k, gpt-3",Experimental_Result,3,2310.01714,Large Language Models as Analogical Reasoners,159,Chain-of-Thought,reduces
Step-by-Step Reasoning,enables,Mathematical Reasoning,"gsm8k, gpt-3.5",Experimental_Result,5,2310.01714,Large Language Models as Analogical Reasoners,159,Step-by-Step Reasoning,enables
