subject,relation,object,condition,evidence_type,confidence,arxiv_id,title,citations
Chain-of-Thought,improves,Arithmetic Accuracy,"GSM8K, LaMDA",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Large Language Model,outperforms,Few-Shot Prompting,"MathQA, GPT-3",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Self-Consistency,improves,Arithmetic Accuracy,"GSM8K, LaMDA",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Verification Method,improves,Arithmetic Accuracy,"GSM8K, LaMDA",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Step-by-Step Reasoning,improves,Arithmetic Accuracy,"GSM8K, LaMDA",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Chain-of-Thought,enables,Step-by-Step Reasoning,LaMDA,Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Large Language Model,correlates_with,Problem Complexity,GSM8K,Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Zero-Shot Prompting,outperforms,Few-Shot Prompting,"GSM8K, LaMDA",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Chain-of-Thought,reduces,Arithmetic Accuracy,"LaMDA, temperature 0.0",Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Self-Consistency,increases,Arithmetic Accuracy,"GSM8K, LaMDA, sample size 40",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Verification Method,outperforms,Chain-of-Thought,"GSM8K, LaMDA",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Large Language Model,depends_on,Problem Complexity,GSM8K,Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Chain-of-Thought,equals,Step-by-Step Reasoning,LaMDA,Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Few-Shot Prompting,degrades,Arithmetic Accuracy,"GSM8K, LaMDA",Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Zero-Shot Prompting,correlates_with,Problem Complexity,GSM8K,Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Self-Consistency,enables,Verification Method,"GSM8K, LaMDA",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Chain-of-Thought,outperforms,Zero-Shot Prompting,"GSM8K, LaMDA",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Large Language Model,improves,Arithmetic Accuracy,"GSM8K, LaMDA",Experimental_Result,4,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Step-by-Step Reasoning,reduces,Arithmetic Accuracy,"LaMDA, temperature 0.0",Experimental_Result,3,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Verification Method,increases,Arithmetic Accuracy,"GSM8K, LaMDA, sample size 40",Experimental_Result,5,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,18447
Chain-of-Thought,degrades,Arithmetic Accuracy,"GSM-HARD, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Chain-of-Thought,improves,Arithmetic Accuracy,"GSM8K, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM-HARD, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"MATH, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"SVAMP, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"MAWPS, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"AQuA, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"ASDiv, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"SingleEq, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"AddSub, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"MultiArith, Codex",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, GPT-3",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, GPT-3.5-turbo",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, InstructGPT",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, LLaMA",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, BLOOM",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, CodeGen",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, CodeGen-16B",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Program-aided Language Models,outperforms,Chain-of-Thought,"GSM8K, CodeGen-6B",Experimental_Result,5,2211.10435,PAL: Program-aided Language Models,728
Faithful CoT,improves,Arithmetic Accuracy,"10 datasets, Math Word Problems, Multi-hop QA, Planning, Relational Inference",Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,outperforms,Few-Shot Prompting,7 of 10 datasets,Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,improves,Step-by-Step Reasoning,10 datasets,Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,enables,Verification Method,10 datasets,Experimental_Result,4,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,correlates_with,Arithmetic Accuracy,10 datasets,Experimental_Result,4,2301.13379,Faithful Chain-of-Thought Reasoning,386
Chain-of-Thought,improves,Arithmetic Accuracy,10 datasets,Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,reduces,Problem Complexity,10 datasets,Experimental_Result,4,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,depends_on,Large Language Model,code-davinci-002,Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,improves,Self-Consistency,10 datasets,Experimental_Result,4,2301.13379,Faithful Chain-of-Thought Reasoning,386
Faithful CoT,outperforms,Zero-Shot Prompting,7 of 10 datasets,Experimental_Result,5,2301.13379,Faithful Chain-of-Thought Reasoning,386
Chain-of-Thought,improves,Arithmetic Accuracy,"math and formal logic tasks, multiple models and datasets",Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,outperforms,direct answering,non-symbolic tasks,Experimental_Result,3,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,correlates_with,symbolic manipulation,tasks requiring symbolic steps,Experimental_Result,4,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,degrades,performance,non-symbolic tasks like CommonsenseQA,Experimental_Result,3,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
Chain-of-Thought,reduces,benefit,StrategyQA due to low execution complexity,Experimental_Result,3,2409.12183,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,303
